,date,Malicious_IP,customers,mitigation
155,2025-09-08 04:42:48,95.100.173.67,Customer_10,mitigation_3078
156,2025-09-08 04:46:18,95.100.174.66,Customer_10,mitigation_3078
157,2025-09-08 04:38:18,144.52.81.151,Customer_10,mitigation_3078
158,2025-09-08 04:40:10,184.85.248.65,Customer_10,mitigation_3078
159,2025-09-08 09:36:06,81.177.125.9,Customer_10,mitigation_3088
160,2025-09-10 21:31:43,37.53.253.76,Customer_10,mitigation_3128
161,2025-09-10 23:13:51,104.195.12.36,Customer_10,mitigation_3128
162,2025-09-10 18:13:52,184.105.139.124,Customer_10,mitigation_3128
163,2025-09-10 18:31:22,65.49.1.201,Customer_10,mitigation_3131
164,2025-09-10 22:23:40,183.23.134.215,Customer_10,mitigation_3135
165,2025-09-11 08:34:02,2.16.130.65,Customer_10,mitigation_3139
166,2025-09-11 08:59:11,23.61.199.64,Customer_10,mitigation_3139
167,2025-09-11 08:46:12,95.100.173.67,Customer_10,mitigation_3139
168,2025-09-11 08:34:37,95.100.174.66,Customer_10,mitigation_3139
169,2025-09-11 08:43:20,184.85.248.65,Customer_10,mitigation_3139
170,2025-09-11 08:49:23,193.108.91.254,Customer_10,mitigation_3139
171,2025-09-11 10:38:27,2.16.130.65,Customer_10,mitigation_3141
172,2025-09-11 10:30:34,23.61.199.64,Customer_10,mitigation_3141
173,2025-09-11 10:39:51,95.100.173.67,Customer_10,mitigation_3141
174,2025-09-11 10:35:10,95.100.174.66,Customer_10,mitigation_3141
175,2025-09-11 10:31:15,184.85.248.65,Customer_10,mitigation_3141
176,2025-09-11 10:43:58,193.108.91.254,Customer_10,mitigation_3141
177,2025-09-12 06:29:00,2.16.130.65,Customer_10,mitigation_3151
178,2025-09-12 06:30:09,23.61.199.64,Customer_10,mitigation_3151
179,2025-09-12 06:28:02,95.100.173.67,Customer_10,mitigation_3151
180,2025-09-12 06:27:05,95.100.174.66,Customer_10,mitigation_3151
181,2025-09-12 06:27:19,184.85.248.65,Customer_10,mitigation_3151
182,2025-09-12 06:32:27,193.108.91.254,Customer_10,mitigation_3151
183,2025-09-12 06:55:39,2.16.130.65,Customer_10,mitigation_3152
184,2025-09-12 06:56:22,23.61.199.64,Customer_10,mitigation_3152
185,2025-09-12 06:58:26,37.2.79.26,Customer_10,mitigation_3152
186,2025-09-12 07:03:22,95.100.173.67,Customer_10,mitigation_3152
187,2025-09-12 06:57:57,95.100.174.66,Customer_10,mitigation_3152
188,2025-09-12 07:01:36,104.195.12.36,Customer_10,mitigation_3152
189,2025-09-12 06:55:37,184.85.248.65,Customer_10,mitigation_3152
190,2025-09-12 06:58:07,193.108.91.254,Customer_10,mitigation_3152
191,2025-09-15 06:31:37,2.16.130.65,Customer_10,mitigation_3186
192,2025-09-15 06:31:02,23.61.199.64,Customer_10,mitigation_3186
193,2025-09-15 06:29:16,95.100.173.67,Customer_10,mitigation_3186
194,2025-09-15 06:34:45,95.100.174.66,Customer_10,mitigation_3186
195,2025-09-15 06:27:36,184.85.248.65,Customer_10,mitigation_3186
196,2025-09-15 06:33:23,193.108.91.254,Customer_10,mitigation_3186
197,2025-09-15 06:32:59,194.238.31.127,Customer_10,mitigation_3186
198,2025-09-15 06:37:57,213.111.152.90,Customer_10,mitigation_3186
199,2025-09-15 07:02:06,2.16.130.65,Customer_10,mitigation_3187
200,2025-09-15 07:01:36,23.61.199.64,Customer_10,mitigation_3187
201,2025-09-15 07:02:36,95.100.173.67,Customer_10,mitigation_3187
202,2025-09-15 07:05:13,95.100.174.66,Customer_10,mitigation_3187
203,2025-09-15 07:03:52,184.85.248.65,Customer_10,mitigation_3187
204,2025-09-15 07:05:51,193.108.91.254,Customer_10,mitigation_3187
205,2025-09-15 11:55:39,144.52.81.151,Customer_10,mitigation_3193
206,2025-09-19 19:18:03,4.2.2.2,Customer_10,mitigation_3239
207,2025-09-19 19:18:03,4.2.2.3,Customer_10,mitigation_3239
208,2025-09-20 05:24:02,4.2.2.2,Customer_10,mitigation_3241
209,2025-09-20 05:24:02,4.2.2.3,Customer_10,mitigation_3241
210,2025-09-25 08:34:01,52.208.98.246,Customer_10,mitigation_3280
211,2025-09-25 11:52:36,77.221.153.212,Customer_10,mitigation_3280
212,2025-09-25 11:43:27,87.121.84.23,Customer_10,mitigation_3280
213,2025-09-25 12:29:12,93.123.109.163,Customer_10,mitigation_3280
214,2025-09-25 09:20:37,118.174.70.226,Customer_10,mitigation_3280
215,2025-09-25 11:45:03,183.23.133.241,Customer_10,mitigation_3280
216,2025-09-25 10:29:28,183.94.33.15,Customer_10,mitigation_3280
217,2025-09-25 09:50:35,207.154.211.129,Customer_10,mitigation_3280
218,2025-09-26 15:47:04,73.142.72.238,Customer_10,mitigation_3311
219,2025-09-29 20:25:28,1.0.8.78,Customer_41,mitigation_3245
220,2025-09-29 22:50:41,1.0.9.117,Customer_41,mitigation_3245
221,2025-09-29 21:01:14,1.0.10.153,Customer_41,mitigation_3245
222,2025-09-29 19:57:37,1.0.12.3,Customer_41,mitigation_3245
223,2025-09-29 23:05:34,1.0.39.158,Customer_41,mitigation_3245
224,2025-09-29 23:48:26,1.0.39.215,Customer_41,mitigation_3245
225,2025-09-29 22:12:00,1.0.41.248,Customer_41,mitigation_3245
226,2025-09-29 23:04:28,1.0.56.219,Customer_41,mitigation_3245
227,2025-09-29 21:26:00,1.0.59.91,Customer_41,mitigation_3245
